Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
NLY,7.42,Call,7.50,10/09/20,38,0.18,0.19,0.20,0.20,559,127,4.4,24.25%,"11:19 ET"
ZM,447.7,Call,450.00,10/16/20,45,44.20,44.95,45.70,44.02,582,133,4.38,73.49%,"11:37 ET"
AVGO,360.71,Call,400.00,09/04/20,3,2.00,2.25,2.50,2.27,639,147,4.35,100.66%,"11:41 ET"
WMT,146.84,Call,146.00,09/04/20,3,3.90,4,4.10,3.95,7106,1654,4.3,48.52%,"11:50 ET"
WMT,146.84,Call,155.00,09/25/20,24,3.60,3.7,3.80,3.85,1742,408,4.27,42.51%,"11:49 ET"
NFLX,551.42,Put,540.00,09/04/20,3,6.55,6.8,7.05,6.95,1937,455,4.26,47.05%,"11:47 ET"
HOME,23.76,Call,22.00,09/18/20,17,3.50,3.7,3.90,3.70,1295,309,4.19,147.72%,"11:41 ET"
BABA,292.26,Call,292.50,09/04/20,3,5.10,5.2,5.30,5.20,3510,838,4.19,49.95%,"11:41 ET"
ROKU,180.32,Call,182.50,09/11/20,10,6.45,6.55,6.65,6.28,656,159,4.13,70.93%,"11:37 ET"
INO,11.25,Call,11.50,09/04/20,3,0.47,0.49,0.50,0.49,831,202,4.11,142.89%,"11:42 ET"
WBA,37.13,Call,38.00,09/04/20,3,0.18,0.2,0.22,0.22,969,236,4.11,38.82%,"11:42 ET"
ZM,447.7,Call,435.00,09/04/20,3,19.40,20.55,21.70,19.00,1686,412,4.09,82.66%,"11:37 ET"
NFLX,551.42,Call,600.00,09/04/20,3,1.48,1.54,1.59,1.50,9022,2213,4.08,76.54%,"11:48 ET"
NFLX,551.42,Call,555.00,09/04/20,3,7.45,7.6,7.75,7.05,5357,1317,4.07,57.13%,"11:48 ET"
ZM,447.7,Put,290.00,09/25/20,24,1.25,1.43,1.60,1.59,603,149,4.05,97.91%,"11:34 ET"
FB,297.98,Put,297.50,09/04/20,3,5.80,5.9,6.00,6.12,991,246,4.03,54.19%,"11:36 ET"
LULU,385.99,Call,410.00,09/04/20,3,0.80,0.85,0.90,0.85,1012,252,4.02,50.64%,"11:46 ET"
ROKU,180.32,Call,190.00,09/11/20,10,4.35,4.45,4.55,4.55,1531,381,4.02,77.72%,"11:40 ET"
MO,43.42,Call,42.50,10/16/20,45,1.71,1.73,1.75,1.71,1285,322,3.99,19.23%,"11:46 ET"
UBER,33.99,Put,32.00,10/16/20,45,1.38,1.39,1.40,1.41,1925,483,3.99,49.97%,"11:44 ET"
PENN,57.76,Call,60.00,09/04/20,3,1.48,1.52,1.56,1.59,3465,882,3.93,104.43%,"11:36 ET"
CLDR,13.43,Call,15.50,09/04/20,3,0.45,0.46,0.47,0.47,506,129,3.92,243.97%,"11:42 ET"
WMT,146.84,Call,144.00,09/04/20,3,5.00,5.15,5.30,4.90,8520,2187,3.9,37.43%,"11:50 ET"
CRWD,138.41,Call,155.00,09/04/20,3,5.45,5.68,5.90,5.51,606,157,3.86,241.46%,"11:47 ET"
PTON,83.75,Call,85.00,09/04/20,3,1.93,2,2.06,2.03,6995,1811,3.86,99.55%,"11:38 ET"
CRWD,138.41,Call,135.00,09/11/20,10,11.70,11.88,12.05,11.86,1155,303,3.81,124.06%,"11:48 ET"
ICE,106.11,Call,120.00,01/15/21,136,1.30,1.43,1.55,1.50,500,132,3.79,21.65%,"11:31 ET"
BABA,292.26,Put,277.50,09/18/20,17,6.50,6.6,6.70,6.80,705,186,3.79,52.80%,"11:22 ET"
TSLA,493.25,Put,490.00,09/04/20,3,22.00,22.2,22.40,22.80,8133,2147,3.79,125.14%,"11:46 ET"
WBA,37.13,Call,38.50,09/11/20,10,0.30,0.32,0.34,0.28,582,154,3.78,30.33%,"11:10 ET"
KODK,7.83,Call,10.00,09/04/20,3,0.35,0.38,0.40,0.35,4947,1326,3.73,349.97%,"11:45 ET"
NXPI,128.35,Call,145.00,10/16/20,45,1.19,1.24,1.29,1.25,1258,342,3.68,33.89%,"11:39 ET"
WMT,146.84,Call,155.00,09/11/20,10,2.14,2.19,2.24,2.16,4762,1297,3.67,47.32%,"11:50 ET"
NFLX,551.42,Call,590.00,09/04/20,3,2.05,2.09,2.12,1.93,3160,866,3.65,71.18%,"11:49 ET"
GOLD,29.32,Put,28.00,11/20/20,80,1.97,2.01,2.04,2.00,780,215,3.63,49.27%,"11:18 ET"
SQ,168.47,Call,167.50,09/04/20,3,3.80,3.9,4.00,4.14,6385,1761,3.63,66.48%,"11:43 ET"
AMD,91.68,Call,94.00,09/04/20,3,0.95,0.96,0.97,0.97,5850,1615,3.62,62.53%,"11:41 ET"
ZM,447.7,Put,340.00,09/04/20,3,0.15,0.22,0.30,0.25,777,215,3.61,136.71%,"11:33 ET"
NFLX,551.42,Call,610.00,09/04/20,3,1.07,1.13,1.19,1.15,982,274,3.58,81.07%,"11:46 ET"
KODK,7.83,Put,8.00,09/04/20,3,1.00,1.03,1.05,1.02,7075,1977,3.58,325.50%,"11:43 ET"
ROKU,180.32,Call,185.00,09/11/20,10,5.75,5.85,5.95,5.52,1660,465,3.57,72.32%,"11:37 ET"
WMT,146.84,Call,148.00,09/04/20,3,2.99,3.05,3.10,2.97,7323,2069,3.54,51.72%,"11:50 ET"
MRVL,39.52,Call,40.50,09/04/20,3,0.34,0.35,0.36,0.40,807,229,3.52,58.36%,"11:32 ET"
AMZN,3497.12,Put,3500.00,09/04/20,3,46.85,47.55,48.25,46.00,961,273,3.52,30.68%,"11:40 ET"
HL,5.93,Put,6.00,10/16/20,45,0.65,0.7,0.74,0.64,2000,569,3.51,74.39%,"10:57 ET"
WORK,34.37,Call,36.00,09/04/20,3,0.53,0.54,0.55,0.54,1986,569,3.49,95.19%,"11:49 ET"
SQ,168.47,Call,175.00,09/04/20,3,1.55,1.59,1.62,1.66,3560,1025,3.47,70.51%,"11:43 ET"
CRM,272.75,Call,290.00,09/11/20,10,3.05,3.08,3.10,2.79,2029,586,3.46,49.59%,"11:47 ET"
WLL,0.7903,Call,0.50,09/25/20,24,0.28,0.38,0.47,0.28,2011,589,3.41,97.99%,"11:06 ET"
CAT,144.15,Call,148.00,09/04/20,3,0.43,0.46,0.50,0.47,826,243,3.4,33.40%,"11:44 ET"
PFE,36.93,Call,37.00,09/04/20,3,0.31,0.33,0.34,0.32,1872,551,3.4,22.59%,"11:36 ET"
TSLA,493.25,Put,490.00,09/11/20,10,37.20,37.65,38.10,38.35,1162,343,3.39,117.06%,"11:44 ET"
FB,297.98,Put,295.00,09/04/20,3,4.50,4.6,4.70,4.75,5006,1476,3.39,52.86%,"11:36 ET"
DOCU,261.01,Put,220.00,09/04/20,3,6.45,6.98,7.50,7.00,977,290,3.37,219.88%,"11:49 ET"
PDD,90.87,Put,87.00,09/18/20,17,3.35,3.48,3.60,3.40,572,170,3.36,66.57%,"11:19 ET"
ACI,13.86,Call,12.50,10/16/20,45,1.45,1.55,1.65,1.60,826,246,3.36,45.13%,"11:34 ET"
ZM,447.7,Call,445.00,09/04/20,3,15.20,15.75,16.30,15.01,6057,1802,3.36,92.03%,"11:37 ET"
ROKU,180.32,Call,200.00,09/11/20,10,2.60,2.64,2.67,2.71,3177,949,3.35,81.86%,"11:40 ET"
AMZN,3497.12,Call,3550.00,09/04/20,3,18.50,19.03,19.55,19.05,3963,1183,3.35,34.36%,"11:41 ET"
ZM,447.7,Call,440.00,09/04/20,3,17.20,17.8,18.40,16.90,5394,1608,3.35,87.71%,"11:37 ET"
ROKU,180.32,Put,175.00,09/04/20,3,3.60,3.68,3.75,3.75,1216,365,3.33,78.37%,"11:39 ET"
SHOP,1130.1,Call,1200.00,09/04/20,3,6.50,6.7,6.90,6.50,4920,1477,3.33,73.85%,"11:41 ET"
AAPL,132.46,Call,155.00,03/19/21,199,9.70,9.83,9.95,10.15,6462,1954,3.31,45.51%,"11:35 ET"
NIO,19.88,Call,20.50,09/04/20,3,0.72,0.73,0.74,0.69,13323,4109,3.24,143.84%,"11:49 ET"
NVDA,553.32,Call,620.00,09/04/20,3,0.81,0.86,0.91,0.88,1609,502,3.21,79.39%,"11:49 ET"
NVDA,553.32,Call,555.00,09/04/20,3,10.15,10.33,10.50,10.30,4339,1362,3.19,61.44%,"11:50 ET"
RTX,60.62,Call,61.50,09/11/20,10,1.41,1.45,1.49,1.48,1140,360,3.17,43.61%,"11:30 ET"
ZM,447.7,Call,430.00,09/04/20,3,21.80,23.05,24.30,21.60,2846,900,3.16,78.46%,"11:37 ET"
WMT,146.84,Call,143.00,09/18/20,17,7.85,8,8.15,7.90,1705,544,3.13,37.21%,"11:49 ET"
NFLX,551.42,Call,595.00,09/04/20,3,1.72,1.78,1.83,1.75,916,294,3.12,74.50%,"11:47 ET"
ROKU,180.32,Put,35.00,06/17/22,654,0.02,0.96,1.90,1.16,740,241,3.07,71.33%,"10:47 ET"
DOCU,261.01,Call,300.00,10/16/20,45,19.05,19.8,20.55,20.21,762,248,3.07,103.58%,"11:47 ET"
MRVL,39.52,Call,39.50,09/04/20,3,0.65,0.68,0.70,0.66,554,181,3.06,50.21%,"11:48 ET"
ORCL,57.96,Call,59.50,09/04/20,3,0.42,0.44,0.46,0.47,3135,1025,3.06,49.69%,"11:25 ET"
TSLA,493.25,Put,480.00,11/20/20,80,88.40,88.83,89.25,88.00,839,275,3.05,104.01%,"11:37 ET"
NFLX,551.42,Call,545.00,09/04/20,3,11.40,11.6,11.80,10.90,4610,1511,3.05,55.34%,"11:49 ET"
WMT,146.84,Call,145.00,09/04/20,3,4.45,4.55,4.65,4.43,24917,8170,3.05,44.48%,"11:50 ET"
WORK,34.37,Call,34.50,09/11/20,10,3.15,3.2,3.25,3.25,1677,554,3.03,148.01%,"11:50 ET"
RRGB,11.8,Call,12.50,12/18/20,108,2.40,2.6,2.80,2.70,501,166,3.02,110.27%,"11:40 ET"
GILD,65.13,Call,66.00,10/09/20,38,1.40,1.66,1.92,1.55,635,210,3.02,22.65%,"11:39 ET"
WLL,0.7903,Call,0.50,09/04/20,3,0.28,0.32,0.35,0.32,1300,431,3.02,0.00%,"11:42 ET"
PDD,90.87,Put,95.00,01/15/21,136,16.25,16.68,17.10,16.60,937,311,3.01,65.50%,"11:33 ET"
WMT,146.84,Call,149.00,09/04/20,3,2.57,2.65,2.72,2.59,3678,1223,3.01,53.67%,"11:50 ET"
ROKU,180.32,Put,35.00,09/16/22,745,1.00,1.7,2.40,1.65,736,245,3,72.01%,"10:47 ET"
AMZN,3497.12,Put,3480.00,09/04/20,3,36.40,36.95,37.50,36.60,774,262,2.95,31.49%,"11:41 ET"
FB,297.98,Call,300.00,09/04/20,3,4.30,4.38,4.45,4.10,26488,8999,2.94,51.01%,"11:36 ET"
AAPL,132.46,Put,135.00,09/11/20,10,5.75,5.8,5.85,5.75,1009,346,2.92,47.57%,"11:38 ET"
VXRT,5.27,Call,5.00,10/16/20,45,1.70,1.75,1.80,1.80,1182,405,2.92,241.44%,"11:48 ET"
AAPL,132.46,Call,131.25,11/20/20,80,12.80,12.88,12.95,12.90,2114,724,2.92,49.94%,"11:38 ET"
MTCH,114.22,Call,115.00,09/04/20,3,1.93,2.02,2.11,2.00,651,224,2.91,59.78%,"11:47 ET"
PYPL,208.68,Call,220.00,09/11/20,10,1.31,1.36,1.41,1.35,614,212,2.9,38.51%,"11:38 ET"
CRWD,138.41,Call,150.00,09/11/20,10,7.05,7.28,7.50,7.35,809,279,2.9,137.89%,"11:47 ET"
AAPL,132.46,Put,132.50,09/11/20,10,4.25,4.3,4.35,4.30,1153,399,2.89,47.41%,"11:39 ET"
FSLY,95.85,Call,115.00,09/04/20,3,0.15,0.22,0.30,0.20,1478,511,2.89,121.51%,"11:35 ET"
GOOGL,1639.9,Put,1550.00,09/04/20,3,0.80,0.9,1.00,0.85,703,245,2.87,34.23%,"11:34 ET"
NIO,19.88,Call,21.50,09/04/20,3,0.48,0.49,0.50,0.45,3647,1272,2.87,152.12%,"11:49 ET"
ROKU,180.32,Call,200.00,09/04/20,3,1.18,1.23,1.27,1.24,11615,4082,2.85,114.33%,"11:40 ET"
WMT,146.84,Call,150.00,09/11/20,10,3.50,3.55,3.60,3.50,14684,5146,2.85,43.04%,"11:50 ET"
NVDA,553.32,Call,580.00,09/04/20,3,3.65,3.8,3.95,3.85,4829,1700,2.84,67.54%,"11:50 ET"
KODK,7.83,Put,7.00,09/04/20,3,0.50,0.53,0.55,0.50,7929,2794,2.84,317.84%,"11:45 ET"
